,start_time,ambient_temperature,battery_id,test_id,uid,filename,cycle_number
0,[2008. 4. 2. 13. 8. 17.921],24,B0005,0,1,00001.csv,1
2,[2008. 4. 2. 16. 37. 51.984],24,B0005,2,3,00003.csv,2
4,[2008. 4. 2. 20. 55. 40.812],24,B0005,4,5,00005.csv,3
6,[2008. 4. 3. 1. 12. 38.671],24,B0005,6,7,00007.csv,4
8,[2008. 4. 3. 5. 27. 49.125],24,B0005,8,9,00009.csv,5
10,[2008. 4. 3. 9. 44. 35.078],24,B0005,10,11,00011.csv,6
12,[2008. 4. 3. 14. 6. 43.234],24,B0005,12,13,00013.csv,7
14,[2008. 4. 3. 18. 28. 47.125],24,B0005,14,15,00015.csv,8
16,[2008. 4. 3. 22. 38. 27.453],24,B0005,16,17,00017.csv,9
18,[2008. 4. 4. 2. 48. 6.156],24,B0005,18,19,00019.csv,10
20,[2008. 4. 4. 6. 58. 0.296],24,B0005,20,21,00021.csv,11
22,[2008. 4. 4. 11. 6. 50.375],24,B0005,22,23,00023.csv,12
23,[2008. 4. 4. 15. 5. 59.906],24,B0005,23,24,00024.csv,13
25,[2008. 4. 4. 19. 5. 19.234],24,B0005,25,26,00026.csv,14
27,[2008. 4. 4. 23. 10. 25.421],24,B0005,27,28,00028.csv,15
29,[2008. 4. 5. 3. 28. 57.234],24,B0005,29,30,00030.csv,16
31,[2008. 4. 5. 7. 33. 12.734],24,B0005,31,32,00032.csv,17
33,[2008. 4. 5. 11. 38. 22.140],24,B0005,33,34,00034.csv,18
35,[2008. 4. 5. 15. 42. 11.531],24,B0005,35,36,00036.csv,19
37,[2008. 4. 5. 19. 46. 36.125],24,B0005,37,38,00038.csv,20
39,[2008. 4. 18. 17. 34. 22.890],24,B0005,39,40,00040.csv,21
43,[2008. 4. 18. 22. 53. 58.343],24,B0005,43,44,00044.csv,22
47,[2008. 4. 19. 4. 12. 6.343],24,B0005,47,48,00048.csv,23
51,[2008. 4. 19. 9. 29. 52.703],24,B0005,51,52,00052.csv,24
55,[2008. 4. 19. 14. 43. 41.265],24,B0005,55,56,00056.csv,25
