,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,cycle_number
1,[2008. 4. 2. 15. 25. 41.593],24,B0005,1,2,00002.csv,1.8564874208181572,1
3,[2008. 4. 2. 19. 43. 48.406],24,B0005,3,4,00004.csv,1.846327249719927,2
5,[2008. 4. 3. 0. 1. 6.687],24,B0005,5,6,00006.csv,1.835349194223408,3
7,[2008. 4. 3. 4. 16. 37.375],24,B0005,7,8,00008.csv,1.8352625275821128,4
9,[2008. 4. 3. 8. 33. 25.703],24,B0005,9,10,00010.csv,1.8346455082120416,5
11,[2008. 4. 3. 12. 55. 10.687],24,B0005,11,12,00012.csv,1.8356616600675493,6
13,[2008. 4. 3. 17. 17. 16.015],24,B0005,13,14,00014.csv,1.8351461429226603,7
15,[2008. 4. 3. 21. 28. 14.718],24,B0005,15,16,00016.csv,1.8257567905665535,8
17,[2008. 4. 4. 1. 38. 15.218],24,B0005,17,18,00018.csv,1.8247738529891333,9
19,[2008. 4. 4. 5. 48. 8.609],24,B0005,19,20,00020.csv,1.824613268496936,10
21,[2008. 4. 4. 9. 57. 19.765],24,B0005,21,22,00022.csv,1.8246195526864504,11
24,[2008. 4. 4. 17. 56. 27.609],24,B0005,24,25,00025.csv,1.814201935767392,12
26,[2008. 4. 4. 22. 1. 54.671],24,B0005,26,27,00027.csv,1.8137521577549052,13
28,[2008. 4. 5. 2. 20. 26.703],24,B0005,28,29,00029.csv,1.8134404914735824,14
30,[2008. 4. 5. 6. 25. 1.890],24,B0005,30,31,00031.csv,1.8025980036306504,15
32,[2008. 4. 5. 10. 30. 32.312],24,B0005,32,33,00033.csv,1.80210690024615,16
34,[2008. 4. 5. 14. 34. 41.468],24,B0005,34,35,00035.csv,1.802579500826209,17
36,[2008. 4. 5. 18. 39. 25.218],24,B0005,36,37,00037.csv,1.8030683142834096,18
38,[2008. 4. 5. 22. 46. 35.484],24,B0005,38,39,00039.csv,1.802777624719604,19
41,[2008. 4. 18. 21. 10. 19.796],24,B0005,41,42,00042.csv,1.8470259949329195,20
45,[2008. 4. 19. 2. 29. 9.000],24,B0005,45,46,00046.csv,1.847417311283644,21
49,[2008. 4. 19. 7. 47. 15.703],24,B0005,49,50,00050.csv,1.8361774213478947,22
53,[2008. 4. 19. 13. 1. 42.562],24,B0005,53,54,00054.csv,1.825780747577624,23
57,[2008. 4. 19. 18. 27. 29.828],24,B0005,57,58,00058.csv,1.8251136435078368,24
61,[2008. 4. 19. 23. 41. 55.687],24,B0005,61,62,00062.csv,1.825581504220376,25
65,[2008. 4. 20. 4. 54. 41.734],24,B0005,65,66,00066.csv,1.814031127508391,26
69,[2008. 4. 20. 10. 16. 28.859],24,B0005,69,70,00070.csv,1.8147691941158937,27
73,[2008. 4. 20. 15. 37. 5.281],24,B0005,73,74,00074.csv,1.813969388710352,28
77,[2008. 4. 20. 20. 50. 38.921],24,B0005,77,78,00078.csv,1.802765665167823,29
81,[2008. 4. 21. 2. 15. 2.921],24,B0005,81,82,00082.csv,1.804077040117352,30
85,[2008. 4. 22. 15. 33. 49.875],24,B0005,85,86,00086.csv,1.8518025516704488,31
89,[2008. 4. 22. 20. 26. 18.921],24,B0005,89,90,00090.csv,1.8307038456739428,32
93,[2008. 4. 23. 1. 18. 11.796],24,B0005,93,94,00094.csv,1.8199041089501269,33
97,[2008. 4. 23. 6. 18. 19.921],24,B0005,97,98,00098.csv,1.809307963702852,34
101,[2008. 4. 23. 11. 8. 0.312],24,B0005,101,102,00102.csv,1.80460990458052,35
105,[2008. 4. 23. 16. 6. 25.171],24,B0005,105,106,00106.csv,1.7993770651972192,36
109,[2008. 4. 23. 21. 2. 58.296],24,B0005,109,110,00110.csv,1.7884432335370462,37
113,[2008. 4. 24. 1. 51. 33.890],24,B0005,113,114,00114.csv,1.7829230484252725,38
117,[2008. 4. 24. 6. 50. 0.031],24,B0005,117,118,00118.csv,1.7730337158018288,39
121,[2008. 4. 24. 11. 49. 24.281],24,B0005,121,122,00122.csv,1.773037755078937,40
125,[2008. 4. 24. 16. 45. 56.015],24,B0005,125,126,00126.csv,1.7678721106662054,41
129,[2008. 4. 24. 21. 38. 11.078],24,B0005,129,130,00130.csv,1.762315070409309,42
133,[2008. 4. 25. 12. 3. 44.093],24,B0005,133,134,00134.csv,1.7676172924938447,43
135,[2008. 4. 25. 20. 3. 55.921],24,B0005,135,136,00136.csv,1.762668359743147,44
139,[2008. 4. 26. 1. 4. 35.718],24,B0005,139,140,00140.csv,1.7517304870664143,45
143,[2008. 4. 26. 5. 57. 35.140],24,B0005,143,144,00144.csv,1.7418496047960008,46
147,[2008. 4. 26. 10. 58. 25.843],24,B0005,147,148,00148.csv,1.7360913511847138,47
149,[2008. 4. 29. 12. 15. 56.953],24,B0005,149,150,00150.csv,1.7936240148573608,48
153,[2008. 4. 29. 17. 5. 27.781],24,B0005,153,154,00154.csv,1.7831890223273277,49
157,[2008. 4. 29. 22. 0. 4.750],24,B0005,157,158,00158.csv,1.7673642076278957,50
161,[2008. 4. 30. 2. 43. 55.312],24,B0005,161,162,00162.csv,1.7570177850353066,51
165,[2008. 4. 30. 7. 41. 42.578],24,B0005,165,166,00166.csv,1.7468706179837907,52
169,[2008. 4. 30. 12. 28. 49.265],24,B0005,169,170,00170.csv,1.7417172507457144,53
173,[2008. 4. 30. 17. 20. 16.140],24,B0005,173,174,00174.csv,1.7364225056478186,54
177,[2008. 4. 30. 22. 14. 54.062],24,B0005,177,178,00178.csv,1.7263217239235826,55
181,[2008. 5. 1. 3. 15. 33.140],24,B0005,181,182,00182.csv,1.7158065389330133,56
185,[2008. 5. 1. 8. 16. 3.343],24,B0005,185,186,00186.csv,1.710533351135192,57
189,[2008. 5. 1. 13. 14. 24.875],24,B0005,189,190,00190.csv,1.706014499648521,58
193,[2008. 5. 1. 18. 11. 10.984],24,B0005,193,194,00194.csv,1.7003110272642588,59
197,[2008. 5. 1. 23. 10. 15.265],24,B0005,197,198,00198.csv,1.6945798601797897,60
201,[2008. 5. 2. 3. 53. 34.765],24,B0005,201,202,00202.csv,1.6849029086609286,61
205,[2008. 5. 2. 8. 44. 40.859],24,B0005,205,206,00206.csv,1.6744741591159715,62
209,[2008. 5. 2. 13. 43. 5.093],24,B0005,209,210,00210.csv,1.6745692479879102,63
213,[2008. 5. 2. 19. 7. 48.359],24,B0005,213,214,00214.csv,1.663716375981405,64
215,[2008. 5. 2. 23. 24. 17.687],24,B0005,215,216,00216.csv,1.659013868748246,65
219,[2008. 5. 3. 4. 13. 8.609],24,B0005,219,220,00220.csv,1.6538540573335014,66
223,[2008. 5. 3. 9. 10. 19.812],24,B0005,223,224,00224.csv,1.642653782130131,67
227,[2008. 5. 3. 14. 4. 34.187],24,B0005,227,228,00228.csv,1.6378578430223698,68
231,[2008. 5. 3. 18. 58. 13.468],24,B0005,231,232,00232.csv,1.6327350407099108,69
235,[2008. 5. 3. 23. 42. 30.093],24,B0005,235,236,00236.csv,1.6277528915533617,70
239,[2008. 5. 4. 4. 41. 40.000],24,B0005,239,240,00240.csv,1.622125485521159,71
243,[2008. 5. 4. 9. 40. 11.906],24,B0005,243,244,00244.csv,1.6113256603765849,72
247,[2008. 5. 4. 14. 38. 13.359],24,B0005,247,248,00248.csv,1.6065631397488385,73
251,[2008. 5. 4. 19. 37. 7.890],24,B0005,251,252,00252.csv,1.6015142233917594,74
255,[2008. 5. 5. 0. 35. 53.968],24,B0005,255,256,00256.csv,1.590369231400328,75
259,[2008. 5. 5. 5. 28. 13.937],24,B0005,259,260,00260.csv,1.5857889968242211,76
263,[2008. 5. 5. 11. 41. 31.500],24,B0005,263,264,00264.csv,1.5849430707374117,77
265,[2008. 5. 5. 20. 40. 8.562],24,B0005,265,266,00266.csv,1.5955263892495937,78
269,[2008. 5. 6. 1. 38. 46.265],24,B0005,269,270,00270.csv,1.5747301747801037,79
273,[2008. 5. 6. 6. 37. 6.296],24,B0005,273,274,00274.csv,1.5649019950937946,80
277,[2008. 5. 6. 11. 25. 21.031],24,B0005,277,278,00278.csv,1.5597659473370362,81
281,[2008. 5. 6. 16. 23. 36.296],24,B0005,281,282,00282.csv,1.5594815668184234,82
285,[2008. 5. 6. 21. 21. 49.265],24,B0005,285,286,00286.csv,1.55468935359061,83
289,[2008. 5. 7. 2. 17. 25.156],24,B0005,289,290,00290.csv,1.5488741079890418,84
293,[2008. 5. 7. 7. 4. 2.109],24,B0005,293,294,00294.csv,1.538236598942558,85
297,[2008. 5. 7. 12. 1. 49.906],24,B0005,297,298,00298.csv,1.527914258251028,86
301,[2008. 5. 7. 16. 59. 29.937],24,B0005,301,302,00302.csv,1.5285252629756445,87
305,[2008. 5. 7. 21. 56. 9.656],24,B0005,305,306,00306.csv,1.522647325284378,88
309,[2008. 5. 8. 2. 53. 49.937],24,B0005,309,310,00310.csv,1.5174859938489869,89
312,[2008. 5. 9. 12. 25. 7.000],24,B0005,312,313,00313.csv,1.605818899130659,90
315,[2008. 5. 9. 20. 28. 9.734],24,B0005,315,316,00316.csv,1.5638491446744425,91
319,[2008. 5. 10. 1. 21. 56.500],24,B0005,319,320,00320.csv,1.5480915247767786,92
323,[2008. 5. 10. 6. 18. 12.000],24,B0005,323,324,00324.csv,1.5323755631868592,93
327,[2008. 5. 10. 11. 16. 4.843],24,B0005,327,328,00328.csv,1.5269528268489705,94
