Unnamed: 0,start_time,ambient_temperature,battery_id,test_id,uid,filename,Re,Rct,cycle_number,Rint
40,[2008. 4. 18. 20. 55. 29.859],24,B0005,40,41,00041.csv,0.0446687003661609,0.0694562730453699,1,0.1141249734115308
42,[2008. 4. 18. 22. 39. 16.312],24,B0005,42,43,00043.csv,0.0466870016248693,0.0762747409853058,2,0.1229617426101751
44,[2008. 4. 19. 2. 14. 27.015],24,B0005,44,45,00045.csv,0.044843430573346,0.0679720560130687,3,0.1128154865864147
46,[2008. 4. 19. 3. 57. 24.187],24,B0005,46,47,00047.csv,0.0461946895509937,0.0745338891843796,4,0.1207285787353733
48,[2008. 4. 19. 7. 32. 33.656],24,B0005,48,49,00049.csv,0.04510114851143,0.0685283289600032,5,0.1136294774714332
50,[2008. 4. 19. 9. 15. 10.453],24,B0005,50,51,00051.csv,0.0459907447307683,0.0734266410877331,6,0.11941738581850139
52,[2008. 4. 19. 12. 47. 0.421],24,B0005,52,53,00053.csv,0.0441720755771717,0.0680444951699617,7,0.1122165707471334
54,[2008. 4. 19. 14. 28. 58.984],24,B0005,54,55,00055.csv,0.0452171085992494,0.0746477840841336,8,0.11986489268338299
56,[2008. 4. 19. 18. 12. 47.531],24,B0005,56,57,00057.csv,0.0437866281960759,0.0684502122707276,9,0.1122368404668035
58,[2008. 4. 19. 19. 55. 5.296],24,B0005,58,59,00059.csv,0.0449099454136579,0.0739568760325419,10,0.11886682144619981
60,[2008. 4. 19. 23. 27. 13.343],24,B0005,60,61,00061.csv,0.0446393219887852,0.0683410113732366,11,0.1129803333620218
62,[2008. 4. 20. 1. 8. 11.406],24,B0005,62,63,00063.csv,0.0471704408693174,0.072081121644792,12,0.1192515625141094
64,[2008. 4. 20. 4. 39. 59.296],24,B0005,64,65,00065.csv,0.0435587857754753,0.0686823765587221,13,0.1122411623341974
66,[2008. 4. 20. 6. 20. 57.125],24,B0005,66,67,00067.csv,0.0464896970863564,0.0710290933933924,14,0.11751879047974881
68,[2008. 4. 20. 10. 1. 46.156],24,B0005,68,69,00069.csv,0.0452654781826178,0.0681437253042456,15,0.1134092034868634
70,[2008. 4. 20. 11. 42. 26.062],24,B0005,70,71,00071.csv,0.0463622366817154,0.0719302986054303,16,0.1182925352871457
72,[2008. 4. 20. 15. 22. 22.640],24,B0005,72,73,00073.csv,0.0444837157774346,0.0678255571971684,17,0.112309272974603
74,[2008. 4. 20. 17. 3. 1.140],24,B0005,74,75,00075.csv,0.0448279130020564,0.072888269527583,18,0.11771618252963939
