Unnamed: 0,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,cycle_number,datetime,delta_time,SOH
1,"[2008.0, 4.0, 2.0, 15.0, 25.0, 41.593]",24,B0005,1,2,00002.csv,1.8564874208181568,1,2008-04-02 15:25:41.593,0.0,0.9282437104090784
3,"[2008.0, 4.0, 2.0, 19.0, 43.0, 48.406]",24,B0005,3,4,00004.csv,1.846327249719927,2,2008-04-02 19:43:48.406,15486.813,0.9231636248599636
5,"[2008.0, 4.0, 3.0, 0.0, 1.0, 6.687]",24,B0005,5,6,00006.csv,1.835349194223408,3,2008-04-03 00:01:06.687,30925.094,0.9176745971117041
7,"[2008.0, 4.0, 3.0, 4.0, 16.0, 37.375]",24,B0005,7,8,00008.csv,1.8352625275821128,4,2008-04-03 04:16:37.375,46255.782,0.9176312637910564
9,"[2008.0, 4.0, 3.0, 8.0, 33.0, 25.703]",24,B0005,9,10,00010.csv,1.8346455082120416,5,2008-04-03 08:33:25.703,61664.11,0.9173227541060208
11,"[2008.0, 4.0, 3.0, 12.0, 55.0, 10.687]",24,B0005,11,12,00012.csv,1.8356616600675493,6,2008-04-03 12:55:10.687,77369.094,0.9178308300337749
13,"[2008.0, 4.0, 3.0, 17.0, 17.0, 16.015]",24,B0005,13,14,00014.csv,1.8351461429226603,7,2008-04-03 17:17:16.015,93094.422,0.9175730714613302
15,"[2008.0, 4.0, 3.0, 21.0, 28.0, 14.718]",24,B0005,15,16,00016.csv,1.8257567905665533,8,2008-04-03 21:28:14.718,108153.125,0.9128783952832769
17,"[2008.0, 4.0, 4.0, 1.0, 38.0, 15.218]",24,B0005,17,18,00018.csv,1.8247738529891333,9,2008-04-04 01:38:15.218,123153.625,0.9123869264945668
19,"[2008.0, 4.0, 4.0, 5.0, 48.0, 8.609]",24,B0005,19,20,00020.csv,1.824613268496936,10,2008-04-04 05:48:08.609,138147.016,0.9123066342484679
21,"[2008.0, 4.0, 4.0, 9.0, 57.0, 19.765]",24,B0005,21,22,00022.csv,1.8246195526864504,11,2008-04-04 09:57:19.765,153098.172,0.9123097763432252
24,"[2008.0, 4.0, 4.0, 17.0, 56.0, 27.609]",24,B0005,24,25,00025.csv,1.814201935767392,12,2008-04-04 17:56:27.609,181846.016,0.907100967883696
26,"[2008.0, 4.0, 4.0, 22.0, 1.0, 54.671]",24,B0005,26,27,00027.csv,1.8137521577549047,13,2008-04-04 22:01:54.671,196573.078,0.9068760788774525
28,"[2008.0, 4.0, 5.0, 2.0, 20.0, 26.703]",24,B0005,28,29,00029.csv,1.8134404914735824,14,2008-04-05 02:20:26.703,212085.11,0.9067202457367912
30,"[2008.0, 4.0, 5.0, 6.0, 25.0, 1.89]",24,B0005,30,31,00031.csv,1.8025980036306504,15,2008-04-05 06:25:01.890,226760.297,0.9012990018153252
32,"[2008.0, 4.0, 5.0, 10.0, 30.0, 32.312]",24,B0005,32,33,00033.csv,1.80210690024615,16,2008-04-05 10:30:32.312,241490.719,0.9010534501230753
34,"[2008.0, 4.0, 5.0, 14.0, 34.0, 41.468]",24,B0005,34,35,00035.csv,1.802579500826209,17,2008-04-05 14:34:41.468,256139.875,0.9012897504131044
36,"[2008.0, 4.0, 5.0, 18.0, 39.0, 25.218]",24,B0005,36,37,00037.csv,1.8030683142834096,18,2008-04-05 18:39:25.218,270823.625,0.9015341571417048
38,"[2008.0, 4.0, 5.0, 22.0, 46.0, 35.484]",24,B0005,38,39,00039.csv,1.802777624719604,19,2008-04-05 22:46:35.484,285653.891,0.901388812359802
41,"[2008.0, 4.0, 18.0, 21.0, 10.0, 19.796]",24,B0005,41,42,00042.csv,1.8470259949329195,20,2008-04-18 21:10:19.796,1403078.203,0.9235129974664598
45,"[2008.0, 4.0, 19.0, 2.0, 29.0, 9.0]",24,B0005,45,46,00046.csv,1.847417311283644,21,2008-04-19 02:29:09.000,1422207.407,0.9237086556418219
49,"[2008.0, 4.0, 19.0, 7.0, 47.0, 15.703]",24,B0005,49,50,00050.csv,1.8361774213478947,22,2008-04-19 07:47:15.703,1441294.11,0.9180887106739472
53,"[2008.0, 4.0, 19.0, 13.0, 1.0, 42.562]",24,B0005,53,54,00054.csv,1.825780747577624,23,2008-04-19 13:01:42.562,1460160.969,0.912890373788812
57,"[2008.0, 4.0, 19.0, 18.0, 27.0, 29.828]",24,B0005,57,58,00058.csv,1.8251136435078368,24,2008-04-19 18:27:29.828,1479708.235,0.9125568217539184
61,"[2008.0, 4.0, 19.0, 23.0, 41.0, 55.687]",24,B0005,61,62,00062.csv,1.825581504220376,25,2008-04-19 23:41:55.687,1498574.094,0.9127907521101881
65,"[2008.0, 4.0, 20.0, 4.0, 54.0, 41.734]",24,B0005,65,66,00066.csv,1.814031127508391,26,2008-04-20 04:54:41.734,1517340.141,0.9070155637541955
69,"[2008.0, 4.0, 20.0, 10.0, 16.0, 28.859]",24,B0005,69,70,00070.csv,1.8147691941158937,27,2008-04-20 10:16:28.859,1536647.266,0.9073845970579468
73,"[2008.0, 4.0, 20.0, 15.0, 37.0, 5.281]",24,B0005,73,74,00074.csv,1.813969388710352,28,2008-04-20 15:37:05.281,1555883.688,0.9069846943551759
77,"[2008.0, 4.0, 20.0, 20.0, 50.0, 38.921]",24,B0005,77,78,00078.csv,1.802765665167823,29,2008-04-20 20:50:38.921,1574697.328,0.9013828325839115
81,"[2008.0, 4.0, 21.0, 2.0, 15.0, 2.921]",24,B0005,81,82,00082.csv,1.804077040117352,30,2008-04-21 02:15:02.921,1594161.328,0.902038520058676
85,"[2008.0, 4.0, 22.0, 15.0, 33.0, 49.875]",24,B0005,85,86,00086.csv,1.8518025516704488,31,2008-04-22 15:33:49.875,1728488.282,0.9259012758352244
89,"[2008.0, 4.0, 22.0, 20.0, 26.0, 18.921]",24,B0005,89,90,00090.csv,1.8307038456739428,32,2008-04-22 20:26:18.921,1746037.328,0.9153519228369714
93,"[2008.0, 4.0, 23.0, 1.0, 18.0, 11.796]",24,B0005,93,94,00094.csv,1.8199041089501269,33,2008-04-23 01:18:11.796,1763550.203,0.9099520544750637
97,"[2008.0, 4.0, 23.0, 6.0, 18.0, 19.921]",24,B0005,97,98,00098.csv,1.809307963702852,34,2008-04-23 06:18:19.921,1781558.328,0.9046539818514261
101,"[2008.0, 4.0, 23.0, 11.0, 8.0, 0.312]",24,B0005,101,102,00102.csv,1.80460990458052,35,2008-04-23 11:08:00.312,1798938.719,0.9023049522902601
105,"[2008.0, 4.0, 23.0, 16.0, 6.0, 25.171]",24,B0005,105,106,00106.csv,1.7993770651972192,36,2008-04-23 16:06:25.171,1816843.578,0.8996885325986096
109,"[2008.0, 4.0, 23.0, 21.0, 2.0, 58.296]",24,B0005,109,110,00110.csv,1.7884432335370462,37,2008-04-23 21:02:58.296,1834636.703,0.8942216167685231
113,"[2008.0, 4.0, 24.0, 1.0, 51.0, 33.89]",24,B0005,113,114,00114.csv,1.7829230484252725,38,2008-04-24 01:51:33.890,1851952.297,0.8914615242126362
117,"[2008.0, 4.0, 24.0, 6.0, 50.0, 0.031]",24,B0005,117,118,00118.csv,1.7730337158018288,39,2008-04-24 06:50:00.031,1869858.438,0.8865168579009144
121,"[2008.0, 4.0, 24.0, 11.0, 49.0, 24.281]",24,B0005,121,122,00122.csv,1.773037755078937,40,2008-04-24 11:49:24.281,1887822.688,0.8865188775394686
125,"[2008.0, 4.0, 24.0, 16.0, 45.0, 56.015]",24,B0005,125,126,00126.csv,1.7678721106662054,41,2008-04-24 16:45:56.015,1905614.422,0.8839360553331026
129,"[2008.0, 4.0, 24.0, 21.0, 38.0, 11.078]",24,B0005,129,130,00130.csv,1.762315070409309,42,2008-04-24 21:38:11.078,1923149.485,0.8811575352046545
133,"[2008.0, 4.0, 25.0, 12.0, 3.0, 44.093]",24,B0005,133,134,00134.csv,1.7676172924938447,43,2008-04-25 12:03:44.093,1975082.5,0.8838086462469223
135,"[2008.0, 4.0, 25.0, 20.0, 3.0, 55.921]",24,B0005,135,136,00136.csv,1.762668359743147,44,2008-04-25 20:03:55.921,2003894.328,0.8813341798715735
139,"[2008.0, 4.0, 26.0, 1.0, 4.0, 35.718]",24,B0005,139,140,00140.csv,1.7517304870664143,45,2008-04-26 01:04:35.718,2021934.125,0.8758652435332072
143,"[2008.0, 4.0, 26.0, 5.0, 57.0, 35.14]",24,B0005,143,144,00144.csv,1.7418496047960008,46,2008-04-26 05:57:35.140,2039513.547,0.8709248023980004
